Region,SPI,Year,Month,Values
Assam Meghalaya,2,1909,5,-0.630353743
Assam Meghalaya,2,1909,6,0.533342903
Assam Meghalaya,2,1909,7,-0.151693895
Assam Meghalaya,2,1909,8,-0.861676638
Assam Meghalaya,2,1909,9,-0.529627668
Assam Meghalaya,2,1909,10,-0.507118935
Assam Meghalaya,2,1909,11,0.515691614
Assam Meghalaya,2,1909,12,0.229644849
Assam Meghalaya,2,1910,1,-0.431696334
Assam Meghalaya,2,1910,2,-0.049400898
Assam Meghalaya,2,1910,3,0.994379827
Assam Meghalaya,2,1910,4,0.515892353
Assam Meghalaya,2,1910,5,-0.964241041
Assam Meghalaya,2,1910,6,0.001282086
Assam Meghalaya,2,1910,7,1.687665291
Assam Meghalaya,2,1910,8,1.010691015
Assam Meghalaya,2,1910,9,-0.712014848
Assam Meghalaya,2,1910,10,-0.053081036
Assam Meghalaya,2,1910,11,0.429584048
Assam Meghalaya,2,1910,12,-0.431107421
Assam Meghalaya,2,1911,1,1.803585998
Assam Meghalaya,2,1911,2,1.145631312
Assam Meghalaya,2,1911,3,-0.439582627
Assam Meghalaya,2,1911,4,0.186227228
Assam Meghalaya,2,1911,5,0.80652898
Assam Meghalaya,2,1911,6,0.545808348
Assam Meghalaya,2,1911,7,0.128202189
Assam Meghalaya,2,1911,8,0.020563092
Assam Meghalaya,2,1911,9,0.439387297
Assam Meghalaya,2,1911,10,1.278299506
Assam Meghalaya,2,1911,11,0.921499095
Assam Meghalaya,2,1911,12,-0.401919554
Assam Meghalaya,2,1912,1,-0.485127017
Assam Meghalaya,2,1912,2,0.785446853
Assam Meghalaya,2,1912,3,1.234570669
Assam Meghalaya,2,1912,4,1.367567298
Assam Meghalaya,2,1912,5,-0.051462415
Assam Meghalaya,2,1912,6,-1.454994304
Assam Meghalaya,2,1912,7,0.061497245
Assam Meghalaya,2,1912,8,1.02688615
Assam Meghalaya,2,1912,9,-0.10720979
Assam Meghalaya,2,1912,10,-0.347069212
Assam Meghalaya,2,1912,11,0.772751701
Assam Meghalaya,2,1912,12,1.318533439
Assam Meghalaya,2,1913,1,-0.424200109
Assam Meghalaya,2,1913,2,1.205824881
Assam Meghalaya,2,1913,3,1.152263881
Assam Meghalaya,2,1913,4,1.26761488
Assam Meghalaya,2,1913,5,1.430685995
Assam Meghalaya,2,1913,6,0.599147442
Assam Meghalaya,2,1913,7,-0.1363909
Assam Meghalaya,2,1913,8,-0.565375545
Assam Meghalaya,2,1913,9,-0.986734263
Assam Meghalaya,2,1913,10,0.26538558
Assam Meghalaya,2,1913,11,0.764299492
Assam Meghalaya,2,1913,12,0.467203971
Assam Meghalaya,2,1914,1,0.94239026
Assam Meghalaya,2,1914,2,0.972045901
Assam Meghalaya,2,1914,3,0.370704955
Assam Meghalaya,2,1914,4,0.393276864
Assam Meghalaya,2,1914,5,0.399937539
Assam Meghalaya,2,1914,6,-0.93427978
Assam Meghalaya,2,1914,7,-0.959315234
Assam Meghalaya,2,1914,8,0.121542512
Assam Meghalaya,2,1914,9,-0.073458835
Assam Meghalaya,2,1914,10,-1.388969933
Assam Meghalaya,2,1914,11,-1.602764597
Assam Meghalaya,2,1914,12,-0.619459649
Assam Meghalaya,2,1915,1,-0.350997636
Assam Meghalaya,2,1915,2,0.758697536
Assam Meghalaya,2,1915,3,0.610116039
Assam Meghalaya,2,1915,4,0.169773313
Assam Meghalaya,2,1915,5,2.358644994
Assam Meghalaya,2,1915,6,2.323046025
Assam Meghalaya,2,1915,7,1.646502747
Assam Meghalaya,2,1915,8,2.069331521
Assam Meghalaya,2,1915,9,0.197759711
Assam Meghalaya,2,1915,10,-0.89431168
Assam Meghalaya,2,1915,11,-0.393923684
Assam Meghalaya,2,1915,12,-0.619459649
